   MIDI code vs piano keys (A4 = 440Hz)
   MIDI Code  HEX Code  Piano Key  Note Name  Frequency (Hz)
   127        0x7F      --         G9         12543.85
   126        0x7E      --         F#/Gb9     11839.82
   125        0x7D      --         F9         11175.30
   124        0x7C      --         E9         10548.08
   123        0x7B      --         D#/Eb9     9956.06
   122        0x7A      --         D9         9397.27
   121        0x79      --         C#/Db9     8869.84
   120        0x78      --         C9         8372.02
   119        0x77      --         B8         7902.13
   118        0x76      --         A#/Bb8     7458.62
   117        0x75      --         A8         7040.00
   116        0x74      --         G#/Ab8     6644.88
   115        0x73      --         G8         6271.93
   114        0x72      --         F#/Gb8     5919.91
   113        0x71      --         F8         5587.65
   112        0x70      --         E8         5274.04
   111        0x6F      --         D#/Eb8     4978.03
   110        0x6E      --         D8         4698.64
   109        0x6D      --         C#/Db8     4434.92
   108        0x6C      88         C8         4186.01
   107        0x6B      87         B7         3951.07
   106        0x6A      86         A#/Bb7     3729.31
   105        0x69      85         A7         3520.00
   104        0x68      84         G#/Ab7     3322.44
   103        0x67      83         G7         3135.96
   102        0x66      82         F#/Gb7     2959.96
   101        0x65      81         F7         2793.83
   100        0x64      80         E7         2637.02
   99         0x63      79         D#/Eb7     2489.02
   98         0x62      78         D7         2349.32
   97         0x61      77         C#/Db7     2217.46
   96         0x60      76         C7         2093.00
   95         0x5F      75         B6         1975.53
   94         0x5E      74         A#/Bb6     1864.66
   93         0x5D      73         A6         1760.00
   92         0x5C      72         G#/Ab6     1661.22
   91         0x5B      71         G6         1567.98
   90         0x5A      70         F#/Gb6     1479.98
   89         0x59      69         F6         1396.91
   88         0x58      68         E6         1318.51
   87         0x57      67         D#/Eb6     1244.51
   86         0x56      66         D6         1174.66
   85         0x55      65         C#/Db6     1108.73
   84         0x54      64         C6         1046.50
   83         0x53      63         B5         987.77
   82         0x52      62         A#/Bb5     932.33
   81         0x51      61         A5         880.00
   80         0x50      60         G#/Ab5     830.61
   79         0x4F      59         G5         783.99
   78         0x4E      58         F#/Gb5     739.99
   77         0x4D      57         F5         698.46
   76         0x4C      56         E5         659.26
   75         0x4B      55         D#/Eb5     622.25
   74         0x4A      54         D5         587.33
   73         0x49      53         C#/Db5     554.37
   72         0x48      52         C5         523.25
   71         0x47      51         B4         493.88
   70         0x46      50         A#/Bb4     466.16
   69         0x45      49         A4         440.00
   68         0x44      48         G#/Ab4     415.30
   67         0x43      47         G4         392.00
   66         0x42      46         F#/Gb4     369.99
   65         0x41      45         F4         349.23
   64         0x40      44         E4         329.63
   63         0x3F      43         D#/Eb4     311.13
   62         0x3E      42         D4         293.66
   61         0x3D      41         C#/Db4     277.18
   60         0x3C      40         C4         261.63
   59         0x3B      39         B3         246.94
   58         0x3A      38         A#/Bb3     233.08
   57         0x39      37         A3         220.00
   56         0x38      36         G#/Ab3     207.65
   55         0x37      35         G3         196.00
   54         0x36      34         F#/Gb3     185.00
   53         0x35      33         F3         174.61
   52         0x34      32         E3         164.81
   51         0x33      31         D#/Eb3     155.56
   50         0x32      30         D3         146.83
   49         0x31      29         C#/Db3     138.59
   48         0x30      28         C3         130.81
   47         0x2F      27         B2         123.47
   46         0x2E      26         A#/Bb2     116.54
   45         0x2D      25         A2         110.00
   44         0x2C      24         G#/Ab2     103.83
   43         0x2B      23         G2         98.00
   42         0x2A      22         F#/Gb2     92.50
   41         0x29      21         F2         87.31
   40         0x28      20         E2         82.41
   39         0x27      19         D#/Eb2     77.78
   38         0x26      18         D2         73.42
   37         0x25      17         C#/Db2     69.30
   36         0x24      16         C2         65.41
   35         0x23      15         B1         61.74
   34         0x22      14         A#/Bb1     58.27
   33         0x21      13         A1         55.00
   32         0x20      12         G#/Ab1     51.91
   31         0x1F      11         G1         49.00
   30         0x1E      10         F#/Gb1     46.25
   29         0x1D      9          F1         43.65
   28         0x1C      8          E1         41.20
   27         0x1B      7          D#/Eb1     38.89
   26         0x1A      6          D1         36.71
   25         0x19      5          C#/Db1     34.65
   24         0x18      4          C1         32.70
   23         0x17      3          B0         30.87
   22         0x16      2          A#/Bb0     29.14
   21         0x15      1          A0         27.50
   20         0x14      --         G#/Ab0     25.96
   19         0x13      --         G0         24.50
   18         0x12      --         F#/Gb0     23.12
   17         0x11      --         F0         21.83
   16         0x10      --         E0         20.60
   15         0x0F      --         D#/Eb0     19.45
   14         0x0E      --         D0         18.35
   13         0x0D      --         C#/Db0     17.32
   12         0x0C      --         C0         16.35
   11         0x0B      --         B-1        15.43
   10         0x0A      --         A#/Bb-1    14.57
   9          0x09      --         A-1        13.75
   8          0x08      --         G#/Ab-1    12.98
   7          0x07      --         G-1        12.25
   6          0x06      --         F#/Gb-1    11.56
   5          0x05      --         F-1        10.91
   4          0x04      --         E-1        10.30
   3          0x03      --         D#/Eb-1    9.72
   2          0x02      --         D-1        9.18
   1          0x01      --         C#/Db-1    8.66
   0          0x00      --         C-1        8.18
